Stock	Ticker	DivDate1	DivDate2	DivDate3	DivDate4	DivDate5	DivDate6	DivAmt1	DivAmt2	DivAmt3	DivAmt4	DivAmt5	DivAmt6	LastYrDivPerShare	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
LAURUSLABS	NSE:LAURUSLABS	10/31/2025	05-09-2025	11-06-2024	05-08-2024	11-02-2023	05-10-2023	0.8	0.8	0	0	0	0	1.6	0	0	0	0	1	0	0	0	0	1	0	0
LICI	NSE:LICI	7/25/2025	7/19/2024	2/21/2024	7/21/2023	8/25/2022	0	12	0	0	0	0	0	12	0	0	0	0	0	0	12	0	0	0	0	0
LT	NSE:LT	06-03-2025	6/20/2024	08-02-2023	7/21/2022	7/28/2021	0	34	0	0	0	0	0	34	0	0	0	0	0	34	0	0	0	0	0	0
LTIM	NSE:LTIM	10/24/2025	5/23/2025	10/25/2024	6/19/2024	10/27/2023	07-10-2023	22	45	0	0	0	0	67	0	0	0	0	45	0	0	0	0	22	0	0
MAHABANK	NSE:MAHABANK	05-09-2025	05-10-2024	5/23/2023	6/20/2022	0	0	1.5	0	0	0	0	0	1.5	0	0	0	0	2	0	0	0	0	0	0	0
MANAPPURAM	NSE:MANAPPURAM	11-07-2025	8/14/2025	5/15/2025	2/21/2025	11/18/2024	8/26/2024	0.5	0.5	0.5	1	0	0	2.5	0	1	0	0	1	0	0	1	0	0	1	0
MAPMYINDIA	NSE:MAPMYINDIA	7/18/2025	08-02-2024	8/25/2023	2/15/2022	0	0	3.5	0	0	0	0	0	3.5	0	0	0	0	0	0	4	0	0	0	0	0
MARICO	NSE:MARICO	08-01-2025	02-07-2025	03-06-2024	11-07-2023	03-08-2023	02-04-2022	7	3.5	0	0	0	0	10.5	0	4	0	0	0	0	0	7	0	0	0	0
MARKSANS	NSE:MARKSANS	08-01-2025	9/17/2024	06-07-2023	8/19/2022	9/15/2021	0	0.8	0	0	0	0	0	0.8	0	0	0	0	0	0	0	1	0	0	0	0
MAXHEALTH	NSE:MAXHEALTH	07-04-2025	8/23/2024	09-08-2023	0	0	0	1.5	0	0	0	0	0	1.5	0	0	0	0	0	0	2	0	0	0	0	0
MEDIASSIST	NSE:MEDIASSIST	09-06-2024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M&M	NSE:M&M	07-04-2025	07-05-2024	7/14/2023	7/14/2022	7/15/2021	0	25.3	0	0	0	0	0	25.3	0	0	0	0	0	0	25	0	0	0	0	0
MPHASIS	NSE:MPHASIS	07-09-2025	07-10-2024	07-05-2023	07-05-2022	9/13/2021	0	57	0	0	0	0	0	57	0	0	0	0	0	0	57	0	0	0	0	0
NATCOPHARM	NSE:NATCOPHARM	11/20/2025	8/19/2025	2/18/2025	11/27/2024	8/23/2024	2/26/2024	1.5	2	1.5	0	0	0	5	0	2	0	0	0	0	0	2	0	0	2	0
NATIONALUM	NSE:NATIONALUM	11/14/2025	9/19/2025	2/14/2025	11/29/2024	9/20/2024	2/23/2024	4	2.5	4	0	0	0	10.5	0	4	0	0	0	0	0	0	3	0	4	0
NBCC	NSE:NBCC	11/19/2025	8/29/2025	8/13/2025	2/18/2025	09-06-2024	09-01-2023	0.21	0.14	0.21	0.53	0	0	1.09	0	1	0	0	0	0	0	0	0	0	0	0
NEWGEN	NSE:NEWGEN	7/18/2025	7/18/2024	6/20/2023	6/14/2022	7/15/2021	0	5	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0
NHPC	NSE:NHPC	8/14/2025	2/13/2025	08-12-2024	2/22/2024	8/22/2023	2/17/2023	0.51	1.4	0	0	0	0	1.91	0	1	0	0	0	0	0	1	0	0	0	0
NLCINDIA	NSE:NLCINDIA	9/19/2025	02-07-2025	9/17/2024	2/16/2024	9/18/2023	2/24/2023	1.5	1.5	0	0	0	0	3	0	2	0	0	0	0	0	0	2	0	0	0
NMDC	NSE:NMDC	8/14/2025	3/21/2025	9/17/2024	2/27/2024	8/31/2023	2/24/2023	1	2.3	0	0	0	0	3.3	0	0	2	0	0	0	0	1	0	0	0	0
NTPC	NSE:NTPC	11-07-2025	09-04-2025	1/31/2025	10/31/2024	08-07-2024	02-06-2024	2.75	3.35	2.5	0	0	0	8.6	3	0	0	0	0	0	0	0	3	0	3	0
